iter	Passed	Remaining
0	3	3469
1	7	3615
2	11	3797
3	13	3455
4	16	3216
5	18	3075
6	20	2926
7	23	2897
8	25	2813
9	27	2741
10	31	2821
11	33	2748
12	35	2731
13	38	2699
14	40	2677
15	43	2663
16	46	2674
17	49	2687
18	51	2668
19	54	2658
20	56	2634
21	58	2612
22	61	2607
23	63	2592
24	66	2575
25	68	2557
26	70	2525
27	72	2533
28	75	2517
29	77	2499
30	79	2484
31	81	2465
32	86	2526
33	88	2524
34	92	2552
35	94	2542
36	97	2540
37	100	2548
38	104	2576
39	108	2605
40	116	2733
41	121	2774
42	125	2791
43	131	2853
44	134	2848
45	138	2863
46	140	2851
47	143	2855
48	146	2846
49	152	2894
50	156	2912
51	159	2904
52	163	2916
53	166	2909
54	168	2900
55	171	2887
56	174	2887
57	177	2875
58	180	2871
59	183	2872
60	186	2872
61	188	2858
62	191	2853
63	194	2844
64	202	2906
65	205	2903
66	207	2890
67	210	2888
68	214	2891
69	219	2913
70	224	2933
71	226	2920
72	229	2917
73	232	2911
74	235	2901
75	237	2891
76	239	2876
77	242	2862
78	244	2844
79	246	2830
80	249	2835
81	254	2852
82	256	2832
83	260	2843
84	262	2829
85	265	2818
86	267	2805
87	271	2815
88	275	2822
89	280	2833
90	283	2827
91	286	2828
92	289	2822
93	292	2817
94	294	2806
95	296	2796
96	300	2793
97	302	2781
98	304	2772
99	307	2765
100	349	3111
101	354	3120
102	360	3138
103	364	3140
104	376	3207
105	398	3359
106	402	3358
107	428	3541
108	434	3548
109	438	3547
110	441	3539
111	482	3829
112	487	3827
113	490	3813
114	494	3802
115	496	3785
116	500	3775
117	502	3757
118	505	3739
119	508	3728
120	513	3729
121	515	3707
122	517	3692
123	520	3674
124	522	3660
125	525	3645
126	527	3623
127	530	3611
128	532	3595
129	535	3580
130	538	3574
131	544	3583
132	548	3576
133	550	3560
134	557	3569
135	579	3680
136	583	3678
137	589	3681
138	591	3663
139	594	3649
140	596	3633
141	597	3612
142	601	3605
143	603	3587
144	606	3578
145	609	3563
146	611	3549
147	614	3537
148	616	3522
149	619	3512
150	621	3495
151	623	3479
152	626	3465
153	628	3450
154	630	3436
155	632	3424
156	634	3408
157	637	3395
158	639	3384
159	642	3370
160	643	3355
161	646	3342
162	648	3328
163	650	3316
164	652	3303
165	657	3304
166	660	3295
167	663	3286
168	667	3283
169	671	3279
170	676	3277
171	678	3264
172	680	3251
173	683	3242
174	685	3229
175	687	3217
176	689	3205
177	691	3193
178	693	3182
179	695	3169
180	698	3158
181	700	3146
182	703	3139
183	706	3133
184	708	3120
185	710	3110
186	713	3100
187	716	3092
188	719	3087
189	721	3077
190	725	3072
191	727	3061
192	730	3052
193	732	3043
194	734	3033
195	737	3026
196	740	3017
197	742	3007
198	745	3001
199	747	2991
200	750	2984
201	752	2973
202	754	2962
203	757	2956
204	760	2947
205	762	2938
206	764	2928
207	766	2919
208	769	2911
209	771	2903
210	774	2895
211	777	2889
212	780	2884
213	783	2875
214	785	2868
215	788	2862
216	791	2855
217	793	2845
218	795	2836
219	798	2830
220	800	2821
221	802	2812
222	805	2806
223	808	2801
224	811	2793
225	813	2784
226	814	2775
227	817	2766
228	819	2758
229	821	2749
230	823	2742
231	825	2733
232	827	2724
233	829	2716
234	832	2708
235	835	2705
236	838	2698
237	840	2692
238	843	2685
239	845	2677
240	850	2678
241	854	2677
242	857	2672
243	860	2665
244	863	2661
245	865	2653
246	868	2647
247	870	2640
248	873	2633
249	875	2627
250	879	2623
251	883	2622
252	885	2614
253	889	2611
254	892	2608
255	895	2602
256	898	2596
257	900	2589
258	902	2582
259	906	2579
260	908	2572
261	910	2566
262	912	2558
263	914	2550
264	917	2545
265	919	2537
266	921	2529
267	923	2522
268	925	2515
269	930	2516
270	932	2509
