iter	RMSE
0	14.78367617
1	14.37287914
2	13.91352921
3	13.55761782
4	13.19976582
5	12.88231401
6	12.51508838
7	12.19211385
8	11.90271071
9	11.55997743
10	11.25041564
11	10.95334668
12	10.71800789
13	10.50232656
14	10.2547933
15	10.01972889
16	9.801663464
17	9.56583176
18	9.359547969
19	9.163010354
20	8.980922952
21	8.796092673
22	8.599814674
23	8.444937894
24	8.273704491
25	8.143108727
26	7.995269599
27	7.85885185
28	7.7201934
29	7.601490194
30	7.468791651
31	7.35120027
32	7.248091401
33	7.133729237
34	7.030190072
35	6.932171396
36	6.837880513
37	6.750155812
38	6.667092042
39	6.576214395
40	6.502325495
41	6.435510258
42	6.363420346
43	6.295333933
44	6.229629148
45	6.159648954
46	6.095369595
47	6.042520623
