iter	Passed	Remaining
0	5	526
1	9	485
2	14	465
3	18	442
4	21	417
5	25	394
6	27	363
7	30	352
8	37	381
9	42	378
10	43	355
11	50	369
12	56	378
13	58	356
14	62	356
15	68	361
16	73	358
17	75	345
18	78	336
19	83	332
20	86	326
21	90	322
22	94	316
23	97	307
24	101	304
25	104	297
26	110	299
27	115	296
28	121	297
29	127	296
30	131	293
31	136	290
32	224	455
33	230	447
34	236	438
35	241	429
36	247	421
37	252	412
38	256	400
39	259	389
40	263	378
41	266	367
42	267	355
43	270	344
44	273	334
45	279	328
46	283	319
47	288	312
